time_of_post,latitude, longitude,category,number_of_tradies,estimated_size,number_of_impressions,accepted
2019-09-16 05:49:06,-37.8229,144.8835,2,634,medium,1113,0
2019-09-10 03:31:06,-34.0169,151.1989,3,9732,small,-47,0
2019-09-11 07:55:06,-37.8570,145.0338,4,5479,small,1061,0
2019-09-15 10:04:06,-37.8222,145.0651,2,634,small,663,0
2019-09-15 17:55:06,-33.7528,151.1738,1,1542,small,927,1
2019-09-13 11:44:06,-33.9423,151.3348,4,2257,medium,1244,1
2019-09-11 11:01:06,-37.7828,145.0744,6,8260,small,1029,0
2019-09-16 09:41:06,-33.8037,151.1413,3,9732,medium,1365,1
2019-09-11 12:37:06,-37.7477,145.0057,5,1058,medium,982,1
2019-09-13 13:50:06,-33.8340,151.2485,6,2476,medium,1677,1
2019-09-14 04:06:06,-33.8000,151.0012,4,2257,small,764,0
2019-09-13 05:01:06,-37.8917,144.9847,1,6153,medium,221,0
2019-09-15 11:14:06,-33.9876,151.3299,7,4242,small,1668,0
2019-09-11 08:51:06,-33.9187,151.2634,2,7331,medium,615,0
2019-09-15 15:09:06,-33.8956,151.1829,7,4242,medium,1506,1
2019-09-16 13:18:06,-37.8797,145.0644,4,5479,medium,970,1
2019-09-11 14:49:06,-34.0651,151.2339,6,2476,small,1235,0
2019-09-13 11:47:06,-37.8810,144.9045,4,5479,medium,720,0
2019-09-16 07:56:06,-37.9409,144.8891,4,5479,medium,1099,0
2019-09-13 12:15:06,-33.6979,151.1856,8,1627,small,1999,0
2019-09-14 01:56:06,-33.8359,151.1661,6,2476,small,1648,0
2019-09-16 20:28:06,-37.8235,144.8962,3,5089,small,276,1
2019-09-11 07:16:06,-37.7272,144.9343,2,634,medium,950,0
2019-09-11 16:29:06,-33.8877,151.2540,5,355,small,53,1
2019-09-10 18:58:06,-33.7813,151.1123,7,4242,medium,499,1
2019-09-15 15:11:06,-33.9588,151.2899,9,10000,medium,642,1
2019-09-13 08:23:06,-33.9999,151.3357,7,4242,medium,229,0
2019-09-12 06:36:06,-37.6770,144.9911,5,1058,medium,2395,0
2019-09-14 13:05:06,-33.9594,151.2401,6,2476,small,326,0
2019-09-10 14:04:06,-33.9260,151.2596,4,2257,small,1367,0
2019-09-12 05:00:06,-37.9471,144.8361,3,5089,small,1515,0
2019-09-11 12:56:06,-17.9197,122.1380,5,3590,medium,778,1
2019-09-14 18:05:06,-37.8098,144.7845,8,8376,medium,951,0
2019-09-10 12:57:06,-37.8954,144.9782,4,5479,small,530,1
2019-09-10 21:02:06,-33.9698,151.3655,6,2476,medium,1594,1
2019-09-12 14:27:06,-34.0533,151.3345,3,9732,medium,986,1
2019-09-11 04:52:06,-33.9484,151.3236,7,4242,medium,543,0
2019-09-14 05:04:06,-33.8633,151.3687,4,2257,medium,733,0
2019-09-15 13:33:06,-33.7375,150.9671,2,7331,medium,460,0
2019-09-10 22:07:06,-37.8730,144.7893,4,5479,medium,715,0
2019-09-13 18:42:06,-34.0781,151.1620,4,2257,medium,830,1
2019-09-16 16:59:06,-33.8066,151.2485,3,9732,small,774,1
2019-09-11 09:08:06,-33.8263,151.1391,8,1627,medium,1724,0
2019-09-16 11:37:06,-33.9341,151.1824,5,355,medium,647,0
2019-09-16 08:38:06,-37.7441,144.9775,3,5089,small,542,0
2019-09-13 05:11:06,-33.7033,151.1603,8,1627,small,1323,0
2019-09-15 02:22:06,-34.0036,151.0632,4,2257,small,638,0
2019-09-16 19:12:06,-18.0058,122.2170,5,3590,medium,797,1
2019-09-12 20:29:06,-37.7644,144.8985,7,3677,small,1481,1
2019-09-16 11:33:06,-37.8054,145.0982,7,3677,medium,807,0
2019-09-12 01:41:06,-37.9243,145.0596,7,3677,medium,599,0
2019-09-15 13:59:06,-33.6827,151.1089,3,9732,small,889,1
2019-09-13 03:48:06,-37.6872,144.9883,4,5479,small,650,0
2019-09-16 09:00:06,-33.8851,151.1853,3,9732,small,805,0
2019-09-10 03:36:06,-37.6940,144.9336,4,5479,medium,451,0
2019-09-13 09:48:06,-37.7390,145.0099,5,1058,medium,,0
2019-09-15 13:44:06,-33.7681,151.2727,6,2476,small,99,0
2019-09-16 05:35:06,-37.8896,144.8889,2,634,medium,885,0
2019-09-13 12:28:06,-33.8585,151.3112,3,9732,small,414,1
2019-09-15 13:32:06,-37.8665,145.0257,7,3677,medium,697,0
2019-09-16 18:03:06,-37.6350,144.8934,8,8376,medium,1132,0
2019-09-11 05:43:06,-37.8429,144.8382,5,1058,small,1254,0
2019-09-11 15:16:06,-37.9119,145.0626,8,8376,medium,785,0
2019-09-12 15:18:06,-33.8154,151.1756,7,4242,medium,891,0
2019-09-11 06:00:06,-33.8804,151.2406,6,2476,medium,729,0
2019-09-15 10:08:06,-37.7601,144.9879,4,5479,small,,0
2019-09-12 11:57:06,-37.7617,144.9960,4,5479,medium,1401,0
2019-09-15 22:29:06,-33.8944,151.2636,4,2257,small,409,0
2019-09-16 21:56:06,-33.7224,151.0735,7,4242,small,787,0
2019-09-16 14:22:06,-34.0625,151.2329,3,9732,medium,831,1
2019-09-10 08:04:06,-37.8185,144.9298,8,8376,small,1065,0
2019-09-11 13:28:06,-33.8089,151.2556,8,1627,small,1450,0
2019-09-14 13:59:06,-37.8459,144.9062,4,5479,medium,1174,0
2019-09-16 11:23:06,-37.7903,145.0152,6,8260,small,908,1
2019-09-11 06:29:06,-37.7254,145.2347,6,8260,medium,2056,0
2019-09-11 17:19:06,-33.7501,151.2573,3,9732,medium,1136,1
2019-09-12 05:12:06,-33.7640,151.1739,8,1627,small,982,0
2019-09-11 16:23:06,-37.6794,144.9926,3,5089,medium,1238,0
2019-09-12 14:31:06,-33.9658,151.0941,3,9732,medium,1224,1
2019-09-14 08:16:06,-33.7720,151.2344,6,2476,medium,816,1
2019-09-13 16:48:06,-37.9240,144.8196,7,3677,small,1128,0
2019-09-15 02:07:06,-37.9388,145.0353,6,8260,small,1029,0
2019-09-15 16:49:06,-33.6627,151.0894,4,2257,small,860,1
2019-09-15 13:30:06,-33.9020,151.0970,4,2257,small,1328,0
2019-09-13 04:25:06,-33.9142,151.2481,4,2257,small,1031,0
2019-09-10 12:05:06,-33.9470,151.1974,4,2257,small,1148,0
2019-09-15 14:02:06,-33.7801,151.1213,6,2476,medium,874,0
2019-09-14 15:12:06,-37.8014,145.1058,5,1058,small,1447,0
2019-09-10 12:34:06,-33.7850,151.1254,4,2257,medium,888,0
2019-09-14 05:22:06,-33.8119,151.2172,5,355,medium,834,0
2019-09-16 12:39:06,-33.8639,151.0964,6,2476,medium,2282,1
2019-09-12 08:24:06,-33.8774,151.2550,6,2476,medium,,0
2019-09-15 02:46:06,-33.7934,151.1626,4,2257,small,1067,0
2019-09-14 13:13:06,-37.9094,144.9902,6,8260,medium,1080,0
2019-09-15 08:57:06,-34.0796,151.3420,2,7331,medium,1253,1
2019-09-14 05:10:06,-37.6895,144.8526,7,3677,small,730,0
2019-09-10 15:25:06,-33.7828,151.2293,6,2476,small,1001,0
2019-09-14 16:47:06,-33.7970,151.2530,5,355,small,2165,0
2019-09-11 03:47:06,-37.6992,144.9685,8,8376,small,823,0
2019-09-10 16:40:06,-37.4981,145.0956,4,5479,small,1406,1
2019-09-12 09:54:06,-33.8892,151.2152,8,1627,small,1139,0
2019-09-16 09:26:06,-37.8070,144.9205,5,1058,medium,-82,0
2019-09-14 03:51:06,-33.6797,151.2333,6,2476,medium,1178,0
2019-09-12 15:47:06,-34.1407,151.1648,4,2257,medium,178,1
2019-09-10 14:09:06,-37.9236,144.8723,5,1058,medium,1231,0
2019-09-13 13:07:06,-37.7840,145.1004,1,6153,medium,887,1
2019-09-15 08:42:06,-33.7052,151.1206,6,2476,small,2920,0
2019-09-12 08:50:06,-33.9156,151.2732,5,355,medium,1020,0
2019-09-16 13:25:06,-33.7785,151.0110,5,355,small,705,0
2019-09-14 19:16:06,-37.8786,145.0118,7,3677,small,641,1
2019-09-12 11:31:06,-37.7485,145.0057,3,5089,medium,580,0
2019-09-11 13:31:06,-37.8347,145.0304,3,5089,small,1855,0
2019-09-14 05:25:06,-33.7696,151.2459,8,1627,small,1038,0
2019-09-15 17:15:06,-17.9847,122.0476,7,7267,small,1133,1
2019-09-15 10:03:06,-37.8693,144.7410,4,5479,medium,981,0
2019-09-13 11:41:06,-33.7773,151.2007,6,2476,small,-194,0
2019-09-16 07:02:06,-33.8594,151.3541,5,355,medium,1113,1
2019-09-16 17:46:06,-33.8221,151.3462,5,355,medium,1505,1
2019-09-16 00:28:06,-37.9353,144.8879,6,8260,medium,1008,0
2019-09-10 13:05:06,-33.7809,151.2189,6,2476,small,1333,0
2019-09-14 10:04:06,-34.0689,151.4036,4,2257,small,-272,0
2019-09-16 10:09:06,-34.0807,151.3877,9,10000,medium,1520,1
2019-09-13 07:54:06,-37.8657,145.1885,3,5089,medium,1388,0
2019-09-12 03:36:06,-37.6009,145.0788,6,8260,small,1391,0
2019-09-15 15:02:06,-33.9114,151.3287,1,1542,small,1161,1
2019-09-10 11:23:06,-37.6607,144.9488,5,1058,medium,218,0
2019-09-11 18:32:06,-33.9678,151.3248,4,2257,medium,973,1
2019-09-16 08:07:06,-33.8261,151.3074,4,2257,medium,932,0
2019-09-10 11:41:06,-33.8548,151.2846,8,1627,small,1430,0
2019-09-13 05:42:06,-38.0080,145.1411,8,8376,medium,1284,0
2019-09-15 08:43:06,-37.9383,144.9144,7,3677,small,679,0
2019-09-11 13:32:06,-33.7622,151.2123,5,355,small,1241,0
2019-09-12 12:36:06,-33.9366,151.1049,4,2257,medium,1590,0
2019-09-11 08:07:06,-37.7395,144.7724,6,8260,small,645,0
2019-09-10 17:17:06,-37.9536,144.9149,2,634,medium,739,0
2019-09-13 09:02:06,-33.9284,151.0431,5,355,small,1391,0
2019-09-16 15:12:06,-37.8280,145.0466,5,1058,medium,777,0
2019-09-11 17:45:06,-17.9524,122.0308,8,1382,small,1136,0
2019-09-16 11:21:06,-33.9081,151.3855,4,2257,small,1171,0
2019-09-15 13:29:06,-37.7158,145.0100,6,8260,small,1422,0
2019-09-13 00:04:06,-37.8662,145.0634,8,8376,small,634,0
2019-09-13 16:22:06,-37.8470,145.1040,7,3677,medium,114,0
2019-09-15 12:36:06,-37.8520,144.9161,6,8260,medium,622,1
2019-09-10 14:16:06,-33.8728,151.2046,5,355,small,569,0
2019-09-13 12:56:06,-37.8264,144.9044,5,1058,small,844,0
2019-09-12 14:01:06,-33.7374,151.1261,3,9732,small,626,1
2019-09-10 08:29:06,-33.9235,151.0812,4,2257,small,2141,0
2019-09-11 12:53:06,-37.7957,144.9909,4,5479,small,1027,0
2019-09-11 00:20:06,-33.9149,151.3679,6,2476,medium,1719,0
2019-09-11 12:56:06,-33.8280,151.3047,7,4242,small,1042,0
2019-09-15 10:36:06,-37.9236,144.9940,2,634,medium,1372,0
2019-09-15 15:19:06,-37.8877,145.0766,7,3677,medium,1054,1
2019-09-12 10:56:06,-37.9038,144.9264,8,8376,medium,1922,1
2019-09-12 14:38:06,-38.0478,145.0045,6,8260,small,435,1
2019-09-14 04:52:06,-37.9812,145.0738,6,8260,medium,1253,0
2019-09-12 12:50:06,-37.7883,144.7571,5,1058,medium,804,0
2019-09-10 07:35:06,-17.9098,122.1692,5,3590,medium,1354,1
2019-09-10 05:35:06,-33.7740,151.3139,5,355,small,923,0
2019-09-13 17:00:06,-38.0982,144.9915,4,5479,medium,1635,0
2019-09-16 03:43:06,-37.9692,144.9510,2,634,medium,924,0
2019-09-15 09:47:06,-18.1535,122.2622,3,10000,small,1930,0
2019-09-14 09:26:06,-37.7422,144.9855,4,5479,small,633,0
2019-09-15 13:53:06,-33.6969,151.0509,3,9732,medium,1092,1
2019-09-14 16:25:06,-17.8832,122.2379,6,7591,medium,818,0
2019-09-12 09:46:06,-37.6938,144.8415,6,8260,small,159,0
2019-09-15 19:58:06,-37.8757,144.9225,5,1058,small,1380,0
2019-09-12 12:26:06,-37.7064,145.1119,7,3677,medium,973,0
2019-09-15 11:13:06,-33.8126,151.2736,4,2257,small,1114,0
2019-09-12 10:05:06,-37.8861,144.9341,5,1058,medium,386,0
2019-09-12 14:52:06,-33.8158,151.0704,5,355,small,826,0
2019-09-14 16:46:06,-37.8287,144.9610,7,3677,small,858,0
2019-09-11 10:53:06,-37.6400,145.0077,5,1058,medium,1142,0
2019-09-14 11:08:06,-33.8055,151.3118,5,355,small,608,0
2019-09-14 10:42:06,-33.7699,151.2912,6,2476,medium,1235,0
2019-09-12 13:58:06,-33.9323,151.2004,4,2257,medium,1434,0
2019-09-12 16:16:06,-18.0346,122.1203,5,3590,small,1382,0
2019-09-14 13:13:06,-33.9732,151.1434,3,9732,small,341,1
2019-09-15 10:35:06,-33.9429,151.3933,6,2476,small,94,1
2019-09-16 14:53:06,-37.8078,145.0151,8,8376,medium,1151,0
2019-09-13 21:24:06,-33.7683,151.0795,5,355,medium,1654,1
2019-09-10 11:36:06,-37.9124,144.9686,9,1432,small,1457,1
2019-09-13 10:12:06,-33.9157,151.0456,8,1627,medium,900,0
2019-09-15 08:34:06,-33.7240,151.3658,4,2257,medium,1224,0
2019-09-15 15:08:06,-33.7491,151.2613,7,4242,small,600,1
2019-09-11 13:35:06,-37.8236,145.1700,5,1058,small,1349,0
2019-09-10 03:10:06,-37.8755,144.8619,4,5479,small,559,0
2019-09-13 12:22:06,-33.9906,151.2514,5,355,medium,18,0
2019-09-15 14:39:06,-37.9079,145.0407,6,8260,small,1163,0
2019-09-14 08:12:06,-37.8696,144.9208,8,8376,small,476,0
2019-09-16 15:51:06,-37.8017,144.9701,4,5479,small,1818,1
2019-09-13 15:20:06,-34.0217,151.2382,6,2476,small,935,0
2019-09-12 18:41:06,-33.8495,151.1045,2,7331,small,2118,1
2019-09-14 13:30:06,-33.8304,151.1281,5,355,small,1324,1
2019-09-13 16:01:06,-37.9365,144.8019,4,5479,small,460,1
2019-09-12 12:32:06,-33.9794,151.2086,8,1627,medium,786,0
2019-09-10 00:51:06,-33.8854,151.2861,5,355,small,,0
2019-09-15 11:57:06,-18.0824,122.1341,5,3590,small,815,0
2019-09-13 20:04:06,-37.6249,144.9668,2,634,medium,694,0
2019-09-11 15:44:06,-33.9348,151.1787,4,2257,small,2314,0
2019-09-14 05:31:06,-37.9246,144.8342,3,5089,small,1014,0
2019-09-15 11:42:06,-37.8447,144.9461,3,5089,small,1904,0
2019-09-11 09:56:06,-34.0153,151.2825,6,2476,small,976,0
2019-09-11 18:47:06,-37.7704,144.9187,2,634,small,1568,0
2019-09-11 18:06:06,-37.7705,144.9061,4,5479,medium,483,1
2019-09-10 14:55:06,-37.8204,145.1648,6,8260,small,1807,1
2019-09-11 10:25:06,-33.7760,150.9980,6,2476,small,233,0
2019-09-11 15:04:06,-37.8689,145.0678,5,1058,small,1310,0
2019-09-14 15:58:06,-33.7512,151.3490,3,9732,small,646,0
2019-09-15 12:03:06,-34.2110,151.1391,5,355,small,1194,0
2019-09-16 19:24:06,-33.7115,151.1889,4,2257,medium,1255,0
2019-09-15 01:59:06,-33.9022,151.2736,6,2476,medium,749,0
2019-09-11 03:12:06,-33.9640,151.2673,4,2257,small,1317,0
2019-09-11 10:07:06,-33.8600,151.2122,8,1627,small,755,0
2019-09-10 07:26:06,-37.8505,145.0076,6,8260,medium,648,0
2019-09-15 02:09:06,-33.8226,151.3104,5,355,medium,1976,0
2019-09-16 04:22:06,-17.9821,122.2530,1,4867,small,1431,0
2019-09-10 16:00:06,-33.8914,151.2949,7,4242,medium,379,0
2019-09-10 17:42:06,-33.8021,151.2139,4,2257,medium,1380,0
2019-09-15 07:55:06,-33.9234,151.3330,2,7331,small,981,0
2019-09-13 18:28:06,-33.9528,151.1203,5,355,small,54,0
2019-09-14 18:15:06,-33.9794,151.2556,3,9732,medium,455,1
2019-09-15 13:07:06,-33.9755,151.1435,4,2257,medium,717,1
2019-09-14 11:48:06,-37.8551,145.0001,1,6153,small,1497,0
2019-09-15 11:15:06,-33.9257,151.2516,5,355,small,296,0
2019-09-11 11:52:06,-33.7519,151.2234,3,9732,medium,432,1
2019-09-11 12:24:06,-37.8166,144.8685,3,5089,medium,225,0
2019-09-16 16:14:06,-37.8020,144.9872,6,8260,small,877,1
2019-09-13 01:59:06,-33.8387,151.1030,6,2476,medium,980,0
2019-09-10 11:38:06,-37.7351,144.9041,4,5479,small,1621,0
2019-09-16 14:31:06,-37.6964,145.0049,8,8376,small,1663,0
2019-09-12 01:51:06,-37.8552,145.1210,8,8376,small,1167,0
2019-09-10 15:04:06,-37.6155,144.9663,3,5089,medium,1578,0
2019-09-16 12:50:06,-33.9961,151.1708,6,2476,medium,1328,1
2019-09-15 04:33:06,-33.9116,151.2981,5,355,small,1588,0
2019-09-11 10:13:06,-37.9018,144.8414,4,5479,medium,782,1
2019-09-13 09:38:06,-33.8657,151.3516,4,2257,small,709,0
2019-09-16 08:34:06,-33.8952,151.1214,4,2257,small,1027,0
2019-09-13 16:49:06,-34.0195,151.2811,4,2257,small,583,0
2019-09-12 06:36:06,-33.7664,151.0215,7,4242,small,402,0
2019-09-11 10:19:06,-37.7869,144.9382,3,5089,small,1042,0
2019-09-15 13:01:06,-37.9593,144.8686,7,3677,medium,887,0
2019-09-14 13:26:06,-37.7347,144.9128,5,1058,small,608,1
2019-09-16 09:32:06,-33.7097,151.2986,5,355,small,859,0
2019-09-15 18:56:06,-37.8635,145.0657,5,1058,medium,1967,0
2019-09-10 16:40:06,-37.7907,145.0697,5,1058,small,867,1
2019-09-14 12:42:06,-33.8761,151.2526,5,355,medium,1529,1
2019-09-14 12:48:06,-33.8867,151.2458,1,1542,small,887,0
2019-09-16 10:54:06,-37.8011,144.8814,5,1058,small,2100,0
2019-09-11 10:56:06,-17.8048,122.2077,6,7591,small,1546,0
2019-09-16 07:57:06,-33.7837,151.3336,7,4242,small,200,0
2019-09-13 00:41:06,-33.9736,150.9933,4,2257,medium,1019,0
2019-09-15 14:51:06,-37.7618,144.8543,2,634,small,303,0
2019-09-11 11:31:06,-33.6498,151.1210,2,7331,small,905,0
2019-09-15 06:45:06,-37.7900,144.8532,7,3677,medium,846,1
2019-09-13 11:22:06,-33.8202,151.2094,6,2476,medium,1535,0
2019-09-14 17:08:06,-34.0057,151.1405,5,355,small,1237,0
2019-09-16 19:16:06,-34.0007,151.1162,3,9732,small,-201,1
2019-09-12 07:37:06,-33.9401,151.0042,6,2476,medium,869,0
2019-09-16 10:09:06,-37.7707,144.9708,4,5479,medium,1426,0
2019-09-13 01:17:06,-33.6687,151.1656,4,2257,medium,1546,0
2019-09-14 05:28:06,-33.8712,151.2266,8,1627,medium,807,1
2019-09-16 15:51:06,-33.8486,151.2465,5,355,small,1902,0
2019-09-16 12:44:06,-37.7420,144.9792,3,5089,medium,713,1
2019-09-10 11:20:06,-38.0046,145.1010,4,5479,small,820,0
2019-09-12 21:31:06,-33.9698,150.9504,3,9732,medium,1090,0
2019-09-10 09:54:06,-33.9338,151.3495,5,355,medium,1260,1
2019-09-14 06:14:06,-37.7702,144.9385,8,8376,small,,0
2019-09-16 19:50:06,-37.7823,145.1316,5,1058,medium,2228,0
2019-09-11 17:27:06,-33.9414,151.1335,6,2476,medium,1566,0
2019-09-14 20:22:06,-33.8827,151.3778,5,355,medium,1124,0
2019-09-10 16:59:06,-37.7956,144.9894,6,8260,small,267,0
2019-09-13 20:44:06,-17.9104,122.1060,3,10000,small,828,1
2019-09-13 01:36:06,-33.8751,151.0026,5,355,medium,1818,0
2019-09-15 13:47:06,-33.9585,151.3824,6,2476,small,1083,0
2019-09-13 06:29:06,-33.8955,151.0426,5,355,medium,1197,0
2019-09-13 14:44:06,-34.1581,151.0832,6,2476,medium,1293,0
2019-09-16 10:29:06,-37.8625,144.8856,6,8260,small,1103,0
2019-09-15 16:04:06,-33.7591,151.3405,2,7331,small,532,0
2019-09-11 17:21:06,-33.6909,151.1207,6,2476,small,1603,0
2019-09-11 10:39:06,-33.9056,151.1969,7,4242,small,1127,0
2019-09-14 12:56:06,-33.9254,151.2249,2,7331,small,1074,0
2019-09-11 09:15:06,-33.8022,151.1528,8,1627,small,1505,0
2019-09-16 11:44:06,-18.1074,122.0571,3,10000,medium,1123,0
2019-09-15 02:00:06,-33.9851,151.1555,3,9732,small,830,0
2019-09-11 15:07:06,-33.9936,151.1573,3,9732,small,1394,0
2019-09-14 11:28:06,-33.9226,151.1820,6,2476,small,1071,0
2019-09-15 08:29:06,-33.9548,151.3903,6,2476,small,834,0
2019-09-13 14:25:06,-33.8852,151.0988,2,7331,small,644,0
2019-09-12 13:20:06,-33.8535,151.1788,9,10000,medium,619,1
2019-09-10 05:55:06,-37.8115,144.9075,4,5479,medium,1088,0
2019-09-16 11:38:06,-37.7017,144.9560,6,8260,small,233,0
2019-09-16 18:35:06,-33.8637,151.1361,3,9732,small,1680,1
2019-09-14 17:44:06,-33.8410,150.9711,4,2257,medium,1382,0
2019-09-13 06:21:06,-33.9033,151.1311,4,2257,medium,477,0
2019-09-13 09:41:06,-37.6639,145.0800,4,5479,medium,91,1
2019-09-14 11:17:06,-33.9459,151.1688,6,2476,medium,40,0
2019-09-14 18:45:06,-34.0500,151.1052,4,2257,small,447,1
2019-09-12 15:00:06,-33.8503,151.2145,4,2257,medium,663,1
2019-09-11 07:17:06,-33.8006,151.3497,5,355,medium,571,1
2019-09-16 11:14:06,-33.8942,150.9861,6,2476,medium,790,0
2019-09-12 14:41:06,-37.8870,144.8684,8,8376,small,1001,0
2019-09-10 10:15:06,-37.8162,145.0266,7,3677,medium,928,0
2019-09-11 15:12:06,-33.7051,151.1407,6,2476,small,1164,1
2019-09-16 11:17:06,-37.7184,145.1459,4,5479,small,1340,0
2019-09-10 18:32:06,-34.0853,151.2263,3,9732,small,1066,0
2019-09-15 07:09:06,-17.9167,122.2010,6,7591,small,1116,0
2019-09-11 03:33:06,-33.9192,151.2591,6,2476,medium,1222,1
2019-09-13 12:19:06,-33.9178,151.4615,2,7331,medium,1558,1
2019-09-10 07:21:06,-38.0515,144.8527,4,5479,small,1559,0
